Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
SO45,"336,974",313,23,9,932,3.3,,5,74,"34,996",22,"45,300",15,https://propertydata.co.uk/draw?input=SO45
SO50,"297,766",304,33,7,905,3.6,55,4,104,"46,318",25,"49,100",16,https://propertydata.co.uk/draw?input=SO50
SO51,"456,357",362,19,6,"1,011",2.7,92,4,72,"26,985",34,"51,400",12,https://propertydata.co.uk/draw?input=SO51
SO52,"348,073",321,8,15,,,,5,62,"6,968",28,"51,900",13,https://propertydata.co.uk/draw?input=SO52
SO53,"389,483",333,21,8,948,2.9,54,5,45,"32,409",36,"60,600",8,https://propertydata.co.uk/draw?input=SO53
SP1,"369,322",299,14,7,790,2.6,63,5,134,"21,620",35,"45,400",17,https://propertydata.co.uk/draw?input=SP1
SP2,"299,733",300,22,10,836,3.3,44,4,91,"28,815",29,"42,800",20,https://propertydata.co.uk/draw?input=SP2
SP3,"539,100",284,8,9,,,,7,42,"11,309",33,"44,600",15,https://propertydata.co.uk/draw?input=SP3
SP4,"328,399",269,23,11,885,3.2,46,4,68,"31,246",29,"49,100",17,https://propertydata.co.uk/draw?input=SP4
SP5,"466,071",316,14,9,,,,6,45,"22,225",35,"48,800",8,https://propertydata.co.uk/draw?input=SP5
SP6,"405,080",314,12,8,835,2.5,,6,58,"14,104",32,"46,500",10,https://propertydata.co.uk/draw?input=SP6
SP7,"334,684",249,17,11,891,3.2,,4,76,"13,749",29,"41,900",13,https://propertydata.co.uk/draw?input=SP7
SP8,"273,227",240,12,7,,,,7,63,"14,509",24,"42,200",11,https://propertydata.co.uk/draw?input=SP8
SP9,"225,524",255,3,4,,,,6,60,"10,664",18,"46,900",21,https://propertydata.co.uk/draw?input=SP9
SP10,"271,487",271,29,9,771,3.4,51,7,98,"40,475",20,"49,000",18,https://propertydata.co.uk/draw?input=SP10
SP11,"350,102",281,21,6,"1,052",3.6,50,7,72,"23,377",25,"53,100",19,https://propertydata.co.uk/draw?input=SP11
